account_id,account_holder1,addr1,addr2,addr3,addr4,postcode,propref,vo_propdescrip,liable_from,current_rv,sbrr,retail
7.1188887E7,VODAFONE LIMITED                ,VODAFONE SITE REF (CS5997)         ,ABERCROMBIE BLOCK OXFORD BROOKES   ,UNIVERSITY  GIPSEY LANE         ,HEADINGTON                      ,OX3 0BP ,1.1001805997E10,Communication Station and Premises                          ,2005-01-04T00:00:00Z,13250.0,      ,      
7.1188887E7,VODAFONE LIMITED                ,VODAFONE SITE REF (CS5997)         ,ABERCROMBIE BLOCK OXFORD BROOKES   ,UNIVERSITY  GIPSEY LANE         ,HEADINGTON                      ,OX3 0BP ,1.1001805997E10,COMMUNICATION STATION AND PREMISES                          ,2005-01-04T00:00:00Z,13250.0,      ,      
7.1188887E7,VODAFONE LIMITED                ,VODAFONE SITE REF (CS5997)         ,ABERCROMBIE BLOCK OXFORD BROOKES   ,UNIVERSITY  GIPSEY LANE         ,HEADINGTON                      ,OX3 0BP ,1.1001805997E10,COMMUNICATION STATION AND PREMISES                          ,2005-01-04T00:00:00Z,13250.0,      ,      
7.0677351E7,DAIRY CREST LTD                 ,DEPOT AT TOWLES MILL               ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XP ,1.1002000004E10,STORE AND PREMISES                                          ,1993-10-22T00:00:00Z,109000.0,      ,      
7.0677351E7,DAIRY CREST LTD                 ,DEPOT AT TOWLES MILL               ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XP ,1.1002000004E10,STORE AND PREMISES                                          ,1993-10-22T00:00:00Z,109000.0,      ,      
7.0677351E7,DAIRY CREST LTD                 ,DEPOT AT TOWLES MILL               ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XP ,1.1002000004E10,STORE AND PREMISES                                          ,1993-10-22T00:00:00Z,109000.0,      ,      
7.1188733E7,MOBILE BROADBAND NETWORK LTD    ,HUTCHINSON (OX0012) STREETWORKS    ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4RA ,1.1002000012E10,Communication Station and Premises                          ,2010-01-04T00:00:00Z,4900.0,      ,      
7.1188733E7,MOBILE BROADBAND NETWORK LTD    ,HUTCHINSON (OX0012) STREETWORKS    ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4RA ,1.1002000012E10,COMMUNICATION STATION AND PREMISES                          ,2010-01-04T00:00:00Z,4900.0,      ,      
7.1188733E7,MOBILE BROADBAND NETWORK LTD    ,HUTCHINSON (OX0012) STREETWORKS    ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4RA ,1.1002000012E10,COMMUNICATION STATION AND PREMISES                          ,2010-01-04T00:00:00Z,4900.0,      ,      
7.1192411E7,TRAVELODGE HOTELS LTD           ,TRAVELODGE                         ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XJ ,1.1002000111E10,Hotel and Premises                                          ,2015-07-12T00:00:00Z,162000.0,      ,      
7.1192411E7,TRAVELODGE HOTELS LTD           ,TRAVELODGE                         ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XJ ,1.1002000111E10,HOTEL AND PREMISES                                          ,2015-07-12T00:00:00Z,162000.0,      ,      
7.1192411E7,TRAVELODGE HOTELS LTD           ,TRAVELODGE                         ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XJ ,1.1002000111E10,HOTEL AND PREMISES                                          ,2015-07-12T00:00:00Z,162000.0,      ,      
7.1191444E7,SHELDON INNS LTD                ,THE FOLLY                          ,38 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PD ,1.10020038E10,PUBLIC HOUSE AND PREMISES                                   ,2014-05-14T00:00:00Z,26500.0,      ,Y     
7.1191444E7,SHELDON INNS LTD                ,THE FOLLY                          ,38 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PD ,1.10020038E10,PUBLIC HOUSE AND PREMISES                                   ,2014-05-14T00:00:00Z,26500.0,      ,Y     
7.1191444E7,SHELDON INNS LTD                ,THE FOLLY                          ,38 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PD ,1.10020038E10,PUBLIC HOUSE AND PREMISES                                   ,2014-05-14T00:00:00Z,26500.0,      ,Y     
7.1185965E7,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,1.1002008503E10,HOTEL AND PREMISES                                          ,2000-12-22T00:00:00Z,960000.0,      ,      
7.1185965E7,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,1.1002008503E10,HOTEL AND PREMISES                                          ,2000-12-22T00:00:00Z,960000.0,      ,      
7.1185965E7,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,1.1002008503E10,HOTEL AND PREMISES                                          ,2000-12-22T00:00:00Z,960000.0,      ,      
7.1185965E7,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,1.1002008503E10,HOTEL AND PREMISES                                          ,2000-12-22T00:00:00Z,960000.0,      ,      
7.0852991E7,SPIRES (OXFORD) LTD             ,88-90 ABINGDON ROAD                ,OXFORD                             ,                                ,                                ,OX1 4PX ,1.1002009E10,GUEST HOUSE AND PREMISES                                    ,1996-05-15T00:00:00Z,24250.0,      ,      
7.0852991E7,SPIRES (OXFORD) LTD             ,88-90 ABINGDON ROAD                ,OXFORD                             ,                                ,                                ,OX1 4PX ,1.1002009E10,GUEST HOUSE AND PREMISES                                    ,1996-05-15T00:00:00Z,24250.0,      ,      
7.0852991E7,SPIRES (OXFORD) LTD             ,88-90 ABINGDON ROAD                ,OXFORD                             ,                                ,                                ,OX1 4PX ,1.1002009E10,GUEST HOUSE AND PREMISES                                    ,1996-05-15T00:00:00Z,24250.0,      ,      
7.1189833E7,AKIPORT LIMITED                 ,192 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4RA ,1.1002019201E10,SHOP AND PREMISES                                           ,2010-04-04T00:00:00Z,5600.0,Y     ,Y     
7.1189833E7,AKIPORT LIMITED                 ,192 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4RA ,1.1002019201E10,SHOP AND PREMISES                                           ,2010-04-04T00:00:00Z,5600.0,Y     ,Y     
7.1189833E7,AKIPORT LIMITED                 ,192 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4RA ,1.1002019201E10,SHOP AND PREMISES                                           ,2010-04-04T00:00:00Z,5600.0,Y     ,Y     
7.1193339E7,HOME PUBS LTD                   ,THE BERKSHIRE                      ,200 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4RA ,1.100202E10,PUBLIC HOUSE AND PREMISES                                   ,2017-06-03T00:00:00Z,12250.0,Y     ,Y     
7.1193339E7,HOME PUBS LTD                   ,THE BERKSHIRE                      ,200 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4RA ,1.100202E10,PUBLIC HOUSE AND PREMISES                                   ,2017-06-03T00:00:00Z,12250.0,Y     ,Y     
7.1193339E7,HOME PUBS LTD                   ,THE BERKSHIRE                      ,200 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4RA ,1.100202E10,PUBLIC HOUSE AND PREMISES                                   ,2017-06-03T00:00:00Z,12250.0,Y     ,Y     
7.1190442E7,UBYK LTD                        ,272 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4TA ,1.1002027201E10,SHOP AND PREMISES                                           ,2013-01-04T00:00:00Z,19750.0,      ,Y     
7.1190442E7,UBYK LTD                        ,272 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4TA ,1.1002027201E10,SHOP AND PREMISES                                           ,2013-01-04T00:00:00Z,19750.0,      ,Y     
7.1190442E7,UBYK LTD                        ,272 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4TA ,1.1002027201E10,SHOP AND PREMISES                                           ,2013-01-04T00:00:00Z,19750.0,      ,Y     
